episode_num,episode_title,poll_vote,forum_link,sentiments,normalized_poll_vote,sentiment_score,normalized_comments,success_metric
72,Luffy Gets Angry! A Dirty Trick Violates the Sacred Duel!,4.2,https://myanimelist.net/forum/?topicid=132584,"({'positive': 33.33333333333333, 'neutral': 15.384615384615385, 'negative': 51.28205128205128}, 39)",0.8,-0.17948717948717952,3.6888794541139363,1.5089543859997154
73,Broggy's Bitter Tears of Victory! The Conclusion of Elbaf!,4.2,https://myanimelist.net/forum/?topicid=135263,"({'positive': 35.13513513513514, 'neutral': 18.91891891891892, 'negative': 45.94594594594595}, 37)",0.8,-0.10810810810810814,3.6375861597263857,1.4596081094044981
74,The Devilish Candle! Tears of Regret and Tears of Anger!,4.3,https://myanimelist.net/forum/?topicid=135268,"({'positive': 50.0, 'neutral': 20.689655172413794, 'negative': 29.310344827586203}, 58)",0.825,0.20689655172413798,4.07753744390572,1.642260526258589
75,A Hex on Luffy! Colors Trap!,4.1,https://myanimelist.net/forum/?topicid=135526,"({'positive': 60.37735849056604, 'neutral': 5.660377358490567, 'negative': 33.9622641509434}, 53)",0.7749999999999999,0.2641509433962264,3.9889840465642745,1.6675988790547724
76,Time to Fight Back! Usopp's Quick Thinking and Fire Star!,4.3,https://myanimelist.net/forum/?topicid=135558,"({'positive': 76.92307692307693, 'neutral': 9.615384615384617, 'negative': 13.461538461538462}, 52)",0.825,0.6346153846153847,3.970291913552122,1.7743765443055697
77,Farewell Giant Island! Head for Alabasta!,4.4,https://myanimelist.net/forum/?topicid=48719,"({'positive': 77.55102040816327, 'neutral': 12.244897959183673, 'negative': 10.204081632653061}, 49)",0.8500000000000001,0.6734693877551021,3.912023005428146,1.8024672343722044
78,Nami's Sick? Beyond the Snow Falling on the Sea!,4.2,https://myanimelist.net/forum/?topicid=143579,"({'positive': 56.00000000000001, 'neutral': 16.0, 'negative': 28.000000000000004}, 50)",0.8,0.27999999999999997,3.9318256327243257,1.7035732167741326
79,A Raid! The Bliking and Blik Wapol!,4.4,https://myanimelist.net/forum/?topicid=143582,"({'positive': 52.083333333333336, 'neutral': 10.416666666666668, 'negative': 37.5}, 48)",0.8500000000000001,0.14583333333333337,3.8918202981106265,1.647806712054523
80,An Island without Doctors? Adventure in a Nameless Land!,4.3,https://myanimelist.net/forum/?topicid=109287,"({'positive': 77.5, 'neutral': 15.0, 'negative': 7.5}, 40)",0.825,0.7,3.713572066704308,1.7215946946897076
81,Are You Happy? The Doctor Called Witch!,4.3,https://myanimelist.net/forum/?topicid=143587,"({'positive': 50.0, 'neutral': 26.31578947368421, 'negative': 23.684210526315788}, 38)",0.825,0.26315789473684215,3.6635616461296463,1.6183285588890493
82,Dalton's Resolve! Wapol's Corps Lands on the Island!,4.3,https://myanimelist.net/forum/?topicid=143592,"({'positive': 41.66666666666667, 'neutral': 5.555555555555555, 'negative': 52.77777777777778}, 36)",0.825,-0.11111111111111108,3.6109179126442243,1.4857838401055408
83,The Island Where Snow Lives! Climb the Drum Rockies!,4.5,https://myanimelist.net/forum/?topicid=143595,"({'positive': 64.61538461538461, 'neutral': 12.307692307692308, 'negative': 23.076923076923077}, 65)",0.875,0.41538461538461535,4.189654742026425,1.7414557993791453
